CNF NAME,SOLVE STATUS,Literals,Clauses,Time (s),Decisions,Conflcits,Restarts,Load Cycle,Load %,Decide Cycle,Decide %,Propagate Cycle,Propagate %,Learn Cycle,Learn %,Min-Btrk Cycle,Min-Btrk %,Save Cycle,Save %,Allocate Cycle,Allocate %,NOT USED,NOT USED,Delete Cycle,Delete %,Literals Checked,Average Propagation Latency,Total Cycles
"037d21e060a2e3eab8b080aa84ceee75-mm-1x10-10-10-sb.1.shuffled-as.sat03-1489",0,2396,83733,1.67468,96009,37942,125,83845,0.000220618,4690080,0.0123408,163439084,0.43005,61611515,0.162116,137055764,0.360629,3246415,0.00854215,840230,0.00221086,0,0,9079590,0.0238907,4600209,35.5286,380046523
"06e928088bd822602edb83e41ce8dadb-satcoin-genesis-SAT-10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"080896c437245ac25eb6d3ad6df12c4f-bv-term-small-rw_1492.smt2",0,8204,24953,0.00411764,196,20,0,27309,0.0384025,28653,0.0402925,166855,0.234635,301611,0.424132,185521,0.260884,976,0.00137247,200,0.000281245,0,0,0,0,32266,5.17123,711125
"1427381a809c64c721838894ece6756d-shuffling-2-s25242449-of-bench-sat04-727.used-as.sat04-753",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17039a3ed02ea12653ec5389e56dab50-pbl-00070.shuffled-as.sat05-1324.shuffled-as.sat05-1324",1,257,7375,0.183476,54481,16612,62,7487,0.000188905,1324474,0.033418,18666611,0.470979,6568760,0.165737,10759524,0.271475,830300,0.0209494,244274,0.00616331,0,0,1232168,0.031089,172807,108.02,39633598
"211938776d92f11870a687abd11d55a4-iso-icl004.shuffled-as.sat05-3238",1,1001,9897,0.000836476,36,19,0,10054,0.066086,77540,0.509679,29389,0.193177,24716,0.162461,9249,0.0607947,1023,0.00672429,164,0.00107799,0,0,0,0,2418,12.1543,152135
"220bb8aa093e502c47afcdac3140d67c-vmpc_24",0,576,67872,8.35634,227848,100240,254,67988,3.56128e-05,7584890,0.00397304,1066828001,0.558815,116317918,0.0609285,696029160,0.364587,7888378,0.00413201,1815290,0.000950867,0,0,12557508,0.00657775,12770514,83.5384,1909089133
"24b93d0bf941e4b050c9109e4cb7faf4-connm-ue-csp-sat-n600-d-0.02-s1022905465.used-as.sat04-951",1,556,6427,0.36456,31134,19338,64,6632,8.12973e-05,1033016,0.0126631,26090221,0.319823,31485168,0.385956,19886271,0.243773,1091860,0.0133844,306164,0.00375306,0,0,1677802,0.0205671,1895257,13.7661,81577134
"25a654a029421baed232de5e6e19c72e-mp1-qpr-bmp280-driver-14",0,23325,95362,2.48069,42724,18856,62,95478,0.000168083,3721084,0.00655073,119599971,0.210548,194116487,0.34173,240775901,0.423871,2722424,0.00479265,455319,0.00080156,0,0,6554327,0.0115385,15295777,7.81915,568040991
"2a31b024f84fb4127d83b5e43c306ffe-mrpp_6x6#10_10",1,4931,32639,2.6465,1833001,89550,253,32755,5.87007e-05,112874638,0.202284,288079349,0.516271,54352753,0.0974064,91130579,0.163316,4308143,0.00772069,1123840,0.00201405,0,0,6097916,0.0109282,16800707,17.1469,557999973
"3988a60c6e93167763c6fd2a347d5859-Break_08_24.xml",1,3890,14188,0.256719,19284,4707,24,14300,0.000246083,828970,0.0142654,16773587,0.28865,11519685,0.198238,26178322,0.450492,559071,0.00962082,124910,0.00214952,0,0,2111674,0.0363389,1780401,9.42124,58110519
"3db38a90085107e738587a90c790384e-38bits_10.dimacs",0,448,12700,11.1642,288939,208193,510,12902,5.06797e-06,9792060,0.00384637,1314640709,0.516398,267397372,0.105035,910636992,0.357703,13448269,0.00528255,3692534,0.00145045,0,0,26170927,0.0102801,11078658,118.664,2545791765
"431bfb466be51ecd86b321b5cbce6d3c-mrpp_8x8#22_10",1,8918,72538,0.573703,566180,14271,60,72654,0.000619522,24797954,0.211453,68339347,0.582731,6893109,0.0587776,15673311,0.133647,628626,0.0053603,163710,0.00139596,0,0,705619,0.00601682,3296469,20.7311,117274330
"43e492bccfd57029b758897b17d7f04f-pb_300_09_lb_07",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44b249f51321a2bf38f730534b781bec-c880_gr_rcs_w7.shuffled",1,4592,61745,0.00829278,1976,229,2,61861,0.0391602,112766,0.0713848,653921,0.413955,249363,0.157855,466510,0.295317,18548,0.0117415,3686,0.00233337,0,0,13037,0.00825287,65291,10.0155,1579692
"47520f6d68cc6528f698f9984e533913-manthey_single-ordered-initialized-w14-b7",1,1225,8099,0.00366637,546,216,2,8286,0.0110167,15908,0.0211506,336562,0.447478,175429,0.233243,198278,0.263622,11523,0.0153205,2826,0.00375732,0,0,3319,0.0044128,36618,9.19116,752131
"483e67e61c27723eec3cfa3dbe4f07c3-mrpp_4x4#8_8",1,1744,11025,0.151815,50501,8249,33,11137,0.00033711,3302688,0.0999704,12274596,0.371545,6874921,0.2081,9423954,0.285257,429945,0.0130142,113686,0.00344121,0,0,605745,0.0183355,955372,12.848,33036672
"4blocks",1,758,47820,0.0681804,12222,2199,13,47932,0.00315754,447739,0.029495,5456526,0.35945,2328123,0.153366,6360251,0.418984,175889,0.0115867,44150,0.0029084,0,0,319578,0.0210523,148768,36.6781,15180188
"4e5e351dc69f0bd323688d4917e3ad5d-manthey_single-ordered-initialized-w20-b7",1,2170,15509,0.0967203,6147,3057,14,15621,0.000715785,181685,0.00832516,10471548,0.479827,3658386,0.167634,7078486,0.32435,200736,0.00919812,48606,0.00222722,0,0,168529,0.00772233,1037459,10.0935,21823597
"554cdbf751c29048d49473df6e87e6b1-mrpp_6x6#16_9",1,4736,37748,0.16405,132300,6505,30,37907,0.00111694,5699746,0.167945,17894349,0.527263,3734002,0.110024,5897044,0.173758,298960,0.00880896,75890,0.00223612,0,0,300280,0.00884785,1001312,17.8709,33938178
"578f9377bfbfcc6ea3a18eb630667956-ferry8_ks99i.renamed-as.sat05-4005",1,2547,32525,0.0606945,13704,2981,14,32641,0.00246606,1325895,0.100173,4662143,0.352229,3456739,0.26116,3458408,0.261286,141198,0.0106676,32192,0.00243214,0,0,126880,0.00958591,641443,7.26821,13236096
